EventCode,EventLabel,ActorName,total_articles
10,DEMAND,GERMAN,262
10,DEMAND,GERMANY,263
10,DEMAND,GOVERNMENT,312
10,DEMAND,ISRAEL,276
10,DEMAND,ISRAELI,366
100,"Demand, not specified below",BUNDESTAG,50
100,"Demand, not specified below",GERMANY,56
100,"Demand, not specified below",GOVERNMENT,66
100,"Demand, not specified below",ISRAELI,70
100,"Demand, not specified below",RUSSIA,46
100,"Demand, not specified below",UKRAINE,50
102,Demand policy support,OBAMA,10
1031,Demand economic aid,EUROPE,8
1031,Demand economic aid,GERMAN,18
1031,Demand economic aid,GOVERNMENT,10
1031,Demand economic aid,ITALIAN,10
1031,Demand economic aid,RUSSIA,2
1031,Demand economic aid,RUSSIAN,44
1041,Demand change in leadership,GOVERNMENT,10
1041,Demand change in leadership,POPULATION,10
1043,Demand rights,GAZA,20
1043,Demand rights,IRELAND,10
1043,Demand rights,SPAIN,10
1053,Demand release of persons or property,ISLAMIC,10
1053,Demand release of persons or property,ISRAELI,10
106,,AFGHAN,10
106,,GERMANY,10
11,DISAPPROVE,INTERIOR MINIST,10
11,DISAPPROVE,POLICEMAN,10
110,"Disapprove, not specified below",GOVERNMENT,192
110,"Disapprove, not specified below",MILITARY,182
110,"Disapprove, not specified below",PRESIDENT,174
110,"Disapprove, not specified below",RUSSIA,703
110,"Disapprove, not specified below",UKRAINE,649
111,Criticize or denounce ,GOVERNMENT,168
111,Criticize or denounce ,ISRAEL,141
111,Criticize or denounce ,ISRAELI,109
111,Criticize or denounce ,PRESIDENT,150
111,Criticize or denounce ,RUSSIA,145
112,"Accuse, not specified below",GOVERNMENT,68
112,"Accuse, not specified below",ISRAELI,80
112,"Accuse, not specified below",RUSSIA,79
112,"Accuse, not specified below",RUSSIAN,74
112,"Accuse, not specified below",TERRORIST,68
112,"Accuse, not specified below",UKRAINE,128
1121,"Accuse of crime, corruption",COMMANDER,10
1121,"Accuse of crime, corruption",CRIMINAL,10
1121,"Accuse of crime, corruption",DISTRICT COURT,10
1121,"Accuse of crime, corruption",GERMAN,8
1121,"Accuse of crime, corruption",GERMANY,2
1121,"Accuse of crime, corruption",INTERNATIONAL CRIMINAL COURT,10
1121,"Accuse of crime, corruption",PROSECUTOR,2
1122,Accuse of human rights abuses,GERMANY,10
1122,Accuse of human rights abuses,MILITARY,10
1123,Accuse of aggression,AUTHORITIES,10
1123,Accuse of aggression,ISRAEL,2
1123,Accuse of aggression,ISRAELI,8
1123,Accuse of aggression,RUSSIAN,10
1123,Accuse of aggression,UKRAINIAN,20
1123,Accuse of aggression,WEST BANK,10
1124,Accuse of war crimes,GERMANY,10
1124,Accuse of war crimes,NICARAGUA,10
114,Complain officially ,EUROPEAN,70
114,Complain officially ,GERMAN,98
114,Complain officially ,GERMANY,88
114,Complain officially ,INDUSTRY,66
114,Complain officially ,UKRAINE,56
114,Complain officially ,UKRAINIAN,66
12,REJECT,EUROPEAN,90
12,REJECT,GAZA,74
12,REJECT,GERMANY,106
12,REJECT,GOVERNMENT,148
12,REJECT,RUSSIAN,125
120,"Reject, not specified below",ASYLUM SEEKER,250
120,"Reject, not specified below",GERMANY,269
120,"Reject, not specified below",GOVERNMENT,290
120,"Reject, not specified below",ISRAEL,232
120,"Reject, not specified below",RUSSIA,288
122,"Reject request or demand for material aid, not specified below",COMBAT TROOPS,10
122,"Reject request or demand for material aid, not specified below",EUROPEAN,10
1233,Reject request for rights,JEWISH,10
1233,Reject request for rights,TEHRAN,10
124,"Refuse to yield, not specified below",JOURNALIST,10
125,"Reject proposal to meet, discuss, or negotiate",BRUSSELS,10
125,"Reject proposal to meet, discuss, or negotiate",GOVERNMENT,10
125,"Reject proposal to meet, discuss, or negotiate",INTELLIGENCE,10
125,"Reject proposal to meet, discuss, or negotiate",ISRAELI,8
125,"Reject proposal to meet, discuss, or negotiate",JEWISH,10
125,"Reject proposal to meet, discuss, or negotiate",MEDIA,10
125,"Reject proposal to meet, discuss, or negotiate",PALESTINIAN,10
125,"Reject proposal to meet, discuss, or negotiate",PARLIAMENT,10
125,"Reject proposal to meet, discuss, or negotiate",PRESIDENT,10
125,"Reject proposal to meet, discuss, or negotiate",SPECIAL FORCES,8
125,"Reject proposal to meet, discuss, or negotiate",TEHRAN,8
125,"Reject proposal to meet, discuss, or negotiate",US GOVERNMENT,20
125,"Reject proposal to meet, discuss, or negotiate",YEMEN,10
127,"Reject plan, agreement to settle dispute",BLOG,10
127,"Reject plan, agreement to settle dispute",ISRAEL,10
127,"Reject plan, agreement to settle dispute",ISRAELI,10
128,"Defy norms, law",CROWN PRINCE,10
128,"Defy norms, law",EUROPEAN,20
128,"Defy norms, law",GOVERNMENT,20
128,"Defy norms, law",INDUSTRY,10
128,"Defy norms, law",ISRAEL,10
128,"Defy norms, law",MOSCOW,10
128,"Defy norms, law",PALESTINIAN,10
128,"Defy norms, law",PRESIDENT,20
128,"Defy norms, law",TEHRAN,10
128,"Defy norms, law",TURKEY,30
129,Veto,RUSSIA,10
129,Veto,WORLD COMMUNITY,10
13,THREATEN,AFRICA,10
13,THREATEN,BUSINESS LEADER,10
13,THREATEN,CONGRESS,10
13,THREATEN,EGYPT,10
13,THREATEN,EMBASSY,10
13,THREATEN,EUROPEAN,10
13,THREATEN,FRANKFURT,10
13,THREATEN,GANG,10
13,THREATEN,GAZA,10
13,THREATEN,GERMAN,10
13,THREATEN,GERMANY,32
13,THREATEN,GOVERNMENT,50
13,THREATEN,INDUSTRY,10
13,THREATEN,ISRAELI,12
13,THREATEN,KHARKIV,10
13,THREATEN,MAYOR,10
13,THREATEN,MEDIA,10
13,THREATEN,MILITARY,20
13,THREATEN,MINIST,10
13,THREATEN,NEWS AGENCY,10
13,THREATEN,OPPOSITION PARTY,10
13,THREATEN,PALATINATE,10
13,THREATEN,PRESIDENT,10
13,THREATEN,PRIME MINISTER,20
13,THREATEN,REFUGEE,10
13,THREATEN,RUSSIA,20
13,THREATEN,RUSSIAN,10
13,THREATEN,SCHOOL,10
13,THREATEN,SCIENTIST,10
13,THREATEN,SWEDEN,10
13,THREATEN,SWISS,10
13,THREATEN,UKRAINE,20
13,THREATEN,UNITED KINGDOM,10
13,THREATEN,US GOVERNMENT,20
130,"Threaten, not specified below",GAZA,52
130,"Threaten, not specified below",GERMANY,90
130,"Threaten, not specified below",GOVERNMENT,50
130,"Threaten, not specified below",ISRAEL,62
130,"Threaten, not specified below",ISRAELI,50
130,"Threaten, not specified below",RUSSIAN,48
131,"Threaten non-force, not specified below",EUROPEAN COMMISSION,10
131,"Threaten non-force, not specified below",GAZA,2
131,"Threaten non-force, not specified below",GERMAN,8
131,"Threaten non-force, not specified below",GERMANY,10
131,"Threaten non-force, not specified below",ISRAEL,8
131,"Threaten non-force, not specified below",MILITIA,10
1312,"Threaten to boycott, embargo, or sanction",IRELAND,30
1312,"Threaten to boycott, embargo, or sanction",ISRAEL,4
1312,"Threaten to boycott, embargo, or sanction",NETHERLANDS,30
133,"Threaten political dissent, protest",FARMER,10
133,"Threaten political dissent, protest",GAZA,10
133,"Threaten political dissent, protest",GERMAN,10
133,"Threaten political dissent, protest",GOVERNMENT,10
133,"Threaten political dissent, protest",ISRAEL,10
133,"Threaten political dissent, protest",ITALIAN,8
133,"Threaten political dissent, protest",JUDGE,10
133,"Threaten political dissent, protest",MEXICAN,10
133,"Threaten political dissent, protest",PARLIAMENT,10
133,"Threaten political dissent, protest",PRESIDENT,10
133,"Threaten political dissent, protest",PROTESTER,20
133,"Threaten political dissent, protest",TRADE UNION,10
134,Threaten to halt negotiations,MEDIA,10
134,Threaten to halt negotiations,NEWS AGENCY,10
134,Threaten to halt negotiations,UKRAINE,10
138,"Threaten to use military force, not specified below",GAZA,78
138,"Threaten to use military force, not specified below",ISRAEL,104
138,"Threaten to use military force, not specified below",ISRAELI,64
138,"Threaten to use military force, not specified below",MEDIA,60
138,"Threaten to use military force, not specified below",RUSSIAN,112
138,"Threaten to use military force, not specified below",UKRAINE,104
1383,Threaten unconventional violence ,AUTHORITIES,10
1383,Threaten unconventional violence ,CRIMINAL,10
1383,Threaten unconventional violence ,HOSPITAL,10
1383,Threaten unconventional violence ,MEDIA,10
1383,Threaten unconventional violence ,POLICE,10
1384,Threaten conventional attack  ,CARGO SHIP,6
1384,Threaten conventional attack  ,CHANCELLOR,10
1384,Threaten conventional attack  ,DJIBOUTI,4
1384,Threaten conventional attack  ,GAZA,6
1384,Threaten conventional attack  ,GOVERNMENT,10
1384,Threaten conventional attack  ,ISRAEL,4
1384,Threaten conventional attack  ,MILITARY,20
1384,Threaten conventional attack  ,RUSSIAN,10
1384,Threaten conventional attack  ,TELEVISION,10
1384,Threaten conventional attack  ,THE EU,10
1384,Threaten conventional attack  ,UKRAINE,10
139,Give ultimatum,GAZA,20
139,Give ultimatum,GERMANY,10
139,Give ultimatum,MEDIA,10
139,Give ultimatum,NUREMBERG,10
139,Give ultimatum,POLAND,8
139,Give ultimatum,RUSSIAN,10
139,Give ultimatum,UKRAINE,2
139,Give ultimatum,UKRAINIAN,8
14,PROTEST,CANADA,20
14,PROTEST,EUROPE,18
14,PROTEST,GOVERNMENT,30
14,PROTEST,JUDGE,20
14,PROTEST,PALESTINIAN,16
14,PROTEST,RUSSIA,48
14,PROTEST,UKRAINE,20
140,"Engage in political dissent, not specified below",EMPLOYEE,10
140,"Engage in political dissent, not specified below",PROTESTER,10
141,Demonstrate or rally,FARMER,20
141,Demonstrate or rally,GAZA,36
141,Demonstrate or rally,GERMAN,28
141,Demonstrate or rally,GOVERNMENT,32
141,Demonstrate or rally,ISRAEL,16
141,Demonstrate or rally,MINIST,20
141,Demonstrate or rally,NATIONALS,20
141,Demonstrate or rally,POLICE,20
141,Demonstrate or rally,PROTESTER,28
141,Demonstrate or rally,SECURITY FORCE,20
143,"Conduct strike or boycott, not specified below",CZECH REPUBLIC,10
143,"Conduct strike or boycott, not specified below",POLAND,10
143,"Conduct strike or boycott, not specified below",RUSSIAN,20
144,"Obstruct passage, block",DICTATOR,10
144,"Obstruct passage, block",POLICE,10
144,"Obstruct passage, block",PROTESTER,10
145,"Protest violently, riot",CHAMBER,10
145,"Protest violently, riot",COMMERZBANK,10
145,"Protest violently, riot",GAZA,14
145,"Protest violently, riot",ISRAEL,8
145,"Protest violently, riot",ISRAELI,10
145,"Protest violently, riot",REFUGEE,10
145,"Protest violently, riot",RUSSIA,10
145,"Protest violently, riot",UKRAINE,10
145,"Protest violently, riot",WORLD FOOD PROGRAM,8
15,EXHIBIT FORCE POSTURE,IRAN,10
15,EXHIBIT FORCE POSTURE,UKRAINE,10
150,"Demonstrate military or police power, not specified below",BUNDESTAG,10
150,"Demonstrate military or police power, not specified below",CHINA,10
150,"Demonstrate military or police power, not specified below",GAZA,2
150,"Demonstrate military or police power, not specified below",IRAN,10
150,"Demonstrate military or police power, not specified below",ISRAEL,2
150,"Demonstrate military or police power, not specified below",ISRAELI,10
150,"Demonstrate military or police power, not specified below",LIBERATION ARMY,10
150,"Demonstrate military or police power, not specified below",MILITARY,80
151,Increase police alert status,FIGHTER,10
151,Increase police alert status,POLICE,10
152,Increase military alert status,AFRICA,10
152,Increase military alert status,CHINESE,10
152,Increase military alert status,TELEVISION,8
154,Mobilize or increase armed forces ,ARMED FORCES,10
154,Mobilize or increase armed forces ,BLOG,10
154,Mobilize or increase armed forces ,EUROPEAN,20
154,Mobilize or increase armed forces ,FILIPINO,10
154,Mobilize or increase armed forces ,IRAN,10
154,Mobilize or increase armed forces ,ISRAEL,10
154,Mobilize or increase armed forces ,MILITARY,110
154,Mobilize or increase armed forces ,MILITIA,10
154,Mobilize or increase armed forces ,NORTH KOREAN,10
154,Mobilize or increase armed forces ,PALESTINIAN,10
154,Mobilize or increase armed forces ,RUSSIA,10
154,Mobilize or increase armed forces ,RUSSIAN,10
154,Mobilize or increase armed forces ,UKRAINE,30
16,REDUCE RELATIONS,FOREIGN MINIST,20
16,REDUCE RELATIONS,GOVERNMENT,30
16,REDUCE RELATIONS,ISRAEL,24
16,REDUCE RELATIONS,ISRAELI,30
16,REDUCE RELATIONS,LAWYER,30
16,REDUCE RELATIONS,MEDIA,20
16,REDUCE RELATIONS,RUSSIA,26
16,REDUCE RELATIONS,TURKEY,40
16,REDUCE RELATIONS,UKRAINIAN,20
160,"Reduce relations, not specified below",AFRICA,10
160,"Reduce relations, not specified below",AUSTRIA,10
160,"Reduce relations, not specified below",BUNDESTAG,30
160,"Reduce relations, not specified below",CHINA,10
160,"Reduce relations, not specified below",CITIZEN,16
160,"Reduce relations, not specified below",DEALER,10
160,"Reduce relations, not specified below",EMBASSY,10
160,"Reduce relations, not specified below",EXILES,10
160,"Reduce relations, not specified below",GAZA,10
160,"Reduce relations, not specified below",ISRAEL,26
160,"Reduce relations, not specified below",JORDAN,12
160,"Reduce relations, not specified below",JUDGE,10
160,"Reduce relations, not specified below",LEBANON,10
160,"Reduce relations, not specified below",MEXICO,10
160,"Reduce relations, not specified below",PALESTINIAN,10
160,"Reduce relations, not specified below",POPULATION,10
160,"Reduce relations, not specified below",RUSSIA,10
160,"Reduce relations, not specified below",RUSSIAN,10
160,"Reduce relations, not specified below",SOUTH KOREA,10
160,"Reduce relations, not specified below",TOURIST,10
