EventCode,total_articles,num_event_rows,avg_tone,EventDescription
20,10238,1344,-2.673767150753197,USE UNCONVENTIONAL MASS VIOLENCE
10,7734,1128,-3.3390877584136516,DEMAND
110,3989,526,-3.3968718899919508,"Disapprove, not specified below"
190,3597,527,-5.046663733345162,"Use conventional military force, not specified below"
120,3491,465,-2.9675164724058756,"Reject, not specified below"
173,3455,494,-5.385106715044014,"Arrest, detain, or charge with legal action "
111,2935,415,-4.3219026379402585,Criticize or denounce 
12,2263,298,-3.2422097908134813,REJECT
112,1837,263,-4.626488952639002,"Accuse, not specified below"
193,1835,271,-4.7273201764690596,Fight with small arms and light weapons
114,1702,207,-3.9903722240749016,Complain officially 
130,1172,150,-4.1685103272573025,"Threaten, not specified below"
100,1024,130,-2.769608764151302,"Demand, not specified below"
138,986,144,-4.5578368443116135,"Threaten to use military force, not specified below"
194,786,123,-5.240014708266609,Fight with artillery and tanks
195,719,118,-5.003381078424731,Employ aerial weapons
191,610,99,-3.773301748444491,"Impose blockade, restrict movement "
1712,504,69,-5.328914940090982,Destroy property
172,480,65,-3.2494146277027762,"Impose administrative sanctions, not specified below"
16,435,63,-4.424471651776597,REDUCE RELATIONS
181,402,57,-5.18109017863958,"Abduct, hijack, or take hostage "
141,356,47,-4.382828775125902,Demonstrate or rally
13,356,49,-2.546982271698585,THREATEN
163,334,44,-3.1156594832588955,"Impose embargo, boycott, or sanctions"
164,332,45,-4.859680954453421,Halt negotiations
180,300,46,-4.716555568819728,"Use unconventional violence, not specified below"
14,296,40,-2.828968347004939,PROTEST
160,250,34,-3.414219285311192,"Reduce relations, not specified below"
182,214,28,-6.138121308430947,"Physically assault, not specified below"
154,190,21,-3.0430507363575097,Mobilize or increase armed forces 
192,168,26,-2.981902439758769,Occupy territory
161,158,24,-5.000708519842813,Reduce or break diplomatic relations
128,120,14,-3.0751236699224385,"Defy norms, law"
125,106,12,-2.7302749857654844,"Reject proposal to meet, discuss, or negotiate"
133,98,13,-4.066322681206906,"Threaten political dissent, protest"
17,96,15,-0.9715558886346713,COERCE
150,92,12,-3.436651106342426,"Demonstrate military or police power, not specified below"
175,90,11,-6.996202439248271,Use tactics of violent repression  
1822,84,9,-6.054894973117583,Torture
18,82,19,-3.358405908641785,ASSAULT
1711,78,10,-5.087678637096564,Confiscate property
162,78,10,-2.097396436794805,"Reduce or stop aid, not specified below"
145,70,10,-3.6715525384447267,"Protest violently, riot"
139,68,8,-3.2557789111602613,Give ultimatum
1031,66,11,-2.733318228910532,Demand economic aid
1384,60,10,-2.77422999150596,Threaten conventional attack  
1723,40,4,-11.35012044246795,Impose curfew
1121,40,6,-6.007465727830918,"Accuse of crime, corruption"
131,38,5,-3.680892025499594,"Threaten non-force, not specified below"
1312,34,4,-3.459961432727467,"Threaten to boycott, embargo, or sanction"
183,30,12,-4.099769324418704,"Conduct suicide, car, or other non-military bombing, not spec below"
174,30,5,-6.964402990729752,Expel or deport individuals
1123,30,5,-6.036496675671934,Accuse of aggression
1383,30,3,-8.378026157608897,Threaten unconventional violence 
1721,28,3,-2.0017218111592,Impose restrictions on political freedoms  
186,24,4,-4.19196760415336,Assassinate 
15,20,2,-3.131112725646905,EXHIBIT FORCE POSTURE
11,20,2,-3.6575313807531398,DISAPPROVE
202,20,2,-5.2359943977591,Engage in mass killings
1122,20,2,-3.84715025906736,Accuse of human rights abuses
144,20,2,-6.46829244040072,"Obstruct passage, block"
134,20,2,-4.70623587441939,Threaten to halt negotiations
151,20,2,-2.315703620051445,Increase police alert status
127,20,2,-3.89015151515152,"Reject plan, agreement to settle dispute"
122,20,2,-0.24962406015037503,"Reject request or demand for material aid, not specified below"
143,20,4,-4.642166344294,"Conduct strike or boycott, not specified below"
1043,20,3,0.0,Demand rights
140,20,2,-7.1783968719452655,"Engage in political dissent, not specified below"
152,20,3,-0.46650239042985336,Increase military alert status
1722,16,2,-1.20341389903205,Ban political parties or politicians
19,10,1,-1.26903553299492,FIGHT
129,10,2,-1.88679245283019,Veto
102,10,1,6.21359223300971,Demand policy support
124,10,1,-7.11060948081264,"Refuse to yield, not specified below"
170,10,1,-0.68649885583524,"Coerce, not specified below "
185,10,1,-2.60303687635575,Attempt to assassinate
1124,10,1,-0.626959247648899,Accuse of war crimes
166,10,1,-2.37642585551331,"Expel or withdraw, not specified below"
1041,10,1,-0.11933174224344,Demand change in leadership
1053,10,2,0.45662100456621,Demand release of persons or property
1233,10,1,-6.44257703081233,Reject request for rights
1724,10,1,-2.60747004933051,Impose state of emergency or martial law
203,6,1,-3.86996904024768,Engage in ethnic cleansing
